Date,Close,High,Low,Open,Volume
2024-04-24,988.5993041992188,992.8362294645908,984.9605087500032,989.346996893108,4671450
2024-04-25,998.1697387695312,1000.2134199478468,986.4558866541336,989.446657407001,8366455
2024-04-26,996.4251098632812,1005.8460497848424,993.5340071665444,1004.6995633384915,7937500
2024-04-29,997.5216674804688,1002.6558480385607,995.9266141591074,999.9641423173026,4764750
2024-04-30,1004.79931640625,1016.3137717666636,994.4312866724148,1001.9082136398764,9047011
2024-05-02,1024.6380615234375,1026.8312446301773,1008.4379931758202,1016.8620092454184,12695047
2024-05-03,1010.2823486328124,1036.999826722203,992.93585454577,1034.8066435928806,11871773
2024-05-06,1013.07373046875,1016.6626309338476,1001.9081744644452,1011.8774100312556,5724760
2024-05-07,985.5087890625,1014.818366541124,979.028785817335,1013.0737502828102,8877426
2024-05-08,1008.986328125,1011.8774308377768,973.994334904934,983.9137366673529,7519352
2024-05-09,1027.13037109375,1039.9905873933412,1004.2010688452552,1007.8896981096932,19189798
2024-05-10,1043.4300537109375,1047.118622153057,1027.230046089197,1033.8097171535346,13383183
2024-05-13,956.79736328125,1005.5967825177934,944.2859850790886,1001.9081532666384,58974762
2024-05-14,961.6823120117188,965.0219815137478,950.3173593780788,962.1308789243916,16325689
2024-05-15,944.3856811523438,969.9567949388908,942.1924371394084,967.9629478084744,19668239
2024-05-16,933.5192260742188,951.4638497726754,916.1727321600904,950.2675293566348,31240770
2024-05-17,942.7906494140624,950.4669732117342,938.1050963806224,941.095867144854,13205512
2024-05-21,948.3733520507812,953.7069295016888,945.7813751840451,951.0650577800128,10055258
2024-05-22,944.5850830078124,951.9623417681472,939.6502991645742,949.071239074868,9495279
2024-05-23,959.3893432617188,960.4859956628708,942.1425782092996,947.077361896024,11211074
2024-05-24,957.5949096679688,967.9629389906398,955.0527667693228,959.5389227718928,9590588
2024-05-27,955.5512084960938,963.4767627704676,949.071205517247,961.9315434603732,6916555
2024-05-28,944.6348876953124,958.9407769957432,943.0896683785454,956.049674392204,6618946
2024-05-29,940.6970825195312,947.5758796831192,935.911861419699,944.036813080503,8184019
2024-05-30,921.1075439453124,948.522942098714,918.1666072466522,940.5973875539808,10170912
2024-05-31,920.1604614257812,934.3666223957892,917.2693587139828,928.7838747044248,14289102
2024-06-03,947.5260009765624,960.0373793689552,931.1265963973044,960.0373793689552,12314329
2024-06-04,901.1192626953124,945.0835689366378,852.7684682929635,945.0835689366378,26554598
2024-06-05,927.089111328125,930.8774088277726,887.2620014529773,922.104493342434,13752553
2024-06-06,935.363525390625,943.0896829411472,928.335226498014,937.1081416117106,11792640
2024-06-07,967.5143432617188,970.0066522345722,932.3727867444848,937.1081737929064,15577866
2024-06-10,972.1500244140624,981.870029029488,966.1185882568394,973.9943086431638,9258931
2024-06-11,987.0999755859376,992.5499877929688,966.6500244140624,973.7999877929688,14828702
2024-06-12,988.7000122070312,1010.25,987.0,994.5,17527993
2024-06-13,985.8499755859376,1002.0,980.75,1002.0,12157226
2024-06-14,993.4000244140624,997.25,981.4000244140624,990.0,11591421
2024-06-18,985.9000244140624,1003.5499877929688,984.0,1000.0,9845075
2024-06-19,977.3499755859376,994.9000244140624,975.1500244140624,990.0,7605719
2024-06-20,978.25,988.4000244140624,976.3499755859376,980.0,7299571
2024-06-21,961.7999877929688,980.9000244140624,958.0999755859376,979.0,14303735
2024-06-24,958.0499877929688,963.5,950.0499877929688,960.9000244140624,6655577
2024-06-25,955.0,962.8499755859376,949.2999877929688,960.0,7304128
2024-06-26,951.8499755859376,962.5,950.0999755859376,956.0,6908988
2024-06-27,972.0999755859376,974.8499755859376,948.0499877929688,952.5,19385412
2024-06-28,989.75,998.5,972.5499877929688,975.0,23025267
2024-07-01,1002.0499877929688,1005.5,985.2000122070312,989.75,14006105
2024-07-02,981.2999877929688,1005.0,979.0999755859376,1004.0499877929688,12284132
2024-07-03,975.6500244140624,987.3499755859376,973.5,984.9500122070312,7346258
2024-07-04,998.2000122070312,1004.0,979.5999755859376,984.0,12139832
2024-07-05,993.6500244140624,1006.5999755859376,989.9500122070312,1005.0,9050375
2024-07-08,1002.5999755859376,1016.5999755859376,996.2000122070312,1005.0,13312085
2024-07-09,1014.9500122070312,1017.0,998.0999755859376,1000.9500122070312,10948094
2024-07-10,1005.5,1019.8499755859376,986.0499877929688,1015.0,13412206
2024-07-11,1020.7999877929688,1025.5,1007.0499877929688,1008.0,11983571
2024-07-12,1016.75,1025.9000244140625,1015.0,1023.8499755859376,7339644
2024-07-15,1024.449951171875,1029.800048828125,1017.2999877929688,1021.3499755859376,5847297
2024-07-16,1021.1500244140624,1029.5999755859375,1019.2000122070312,1025.5,4824555
2024-07-18,1024.550048828125,1027.0,1008.0,1022.9500122070312,8010324
2024-07-19,990.0,1024.0,986.6500244140624,1024.0,7400178
2024-07-22,1003.1500244140624,1008.0,976.5499877929688,990.0,7396198
2024-07-23,1001.7999877929688,1008.6500244140624,967.2000122070312,1007.9000244140624,10384177
2024-07-24,1027.699951171875,1034.25,995.1500244140624,997.7999877929688,11469098
2024-07-25,1090.949951171875,1094.0,1024.3499755859375,1029.0,32766835
2024-07-26,1118.300048828125,1120.5,1083.5999755859375,1111.949951171875,21232845
